station_code,name,is_mission_set,kana,englishName,latitude,longitude,event_type_code
TOKYU_V2_MUSASHIKOSUGI,武蔵小杉,TRUE,むさしこすぎ,MUSASHIKOSUGI,35.57657493,139.6594451,TOKYU_V2
TOKYU_V2_MUSASHIKOYAMA,武蔵小山,FALSE,むさしこやま,MUSASHIKOYAMA,35.620507,139.704413,TOKYU_V2
TOKYU_V2_MUSASHINITTA,武蔵新田,FALSE,むさしにった,MUSASHINITTA,35.567711,139.692579,TOKYU_V2
TOKYU_V2_MYORENJI,妙蓮寺,FALSE,みょうれんじ,MYORENJI,35.498474,139.633139,TOKYU_V2
TOKYU_V2_NAGAHARA,長原,FALSE,ながはら,NAGAHARA,35.602237,139.697903,TOKYU_V2
TOKYU_V2_NAGATSUTA,長津田,TRUE,ながつた,NAGATSUTA,35.53168368,139.4952627,TOKYU_V2
TOKYU_V2_NAKAMEGURO,中目黒,TRUE,なかめぐろ,NAKAMEGURO,35.644307,139.699157,TOKYU_V2
TOKYU_V2_NAKANOBU,中延,FALSE,なかのぶ,NAKANOBU,35.605479,139.713679,TOKYU_V2
TOKYU_V2_NIHONODORI,日本大通り,FALSE,にほんおおどおり,NIHONODORI,35.446821,139.642608,TOKYU_V2
TOKYU_V2_NISHIKOYAMA,西小山,FALSE,にしこやま,NISHIKOYAMA,35.615685,139.698866,TOKYU_V2
TOKYU_V2_NUMABE,沼部,FALSE,ぬまべ,NUMABE,35.582506,139.673249,TOKYU_V2
TOKYU_V2_OIMACHI,大井町,TRUE,おおいまち,OIMACHI,35.606249,139.734855,TOKYU_V2
TOKYU_V2_OKURAYAMA,大倉山,FALSE,おおくらやま,OKURAYAMA,35.522019,139.629916,TOKYU_V2
TOKYU_V2_OKUSAWA,奥沢,FALSE,おくさわ,OKUSAWA,35.59689,139.66732,TOKYU_V2
TOKYU_V2_ONTAKESAN,御嶽山,FALSE,おんたけさん,ONTAKESAN,35.585303,139.682367,TOKYU_V2
TOKYU_V2_OOKAYAMA,大岡山,FALSE,おおおかやま,OOKAYAMA,35.607531,139.685637,TOKYU_V2
TOKYU_V2_OSAKIHIROKOJI,大崎広小路,FALSE,おおさきひろこうじ,OSAKIHIROKOJI,35.622469,139.722486,TOKYU_V2
TOKYU_V2_OYAMADAI,尾山台,FALSE,おやまだい,OYAMADAI,35.606891,139.654051,TOKYU_V2
TOKYU_V2_SAGINUMA,鷺沼,FALSE,さぎぬま,SAGINUMA,35.579579,139.573018,TOKYU_V2
TOKYU_V2_SAKURASHINMACHI,桜新町,FALSE,さくらしんまち,SAKURASHINMACHI,35.631666,139.644779,TOKYU_V2
TOKYU_V2_SANGENJAYA,三軒茶屋,TRUE,さんげんぢゃや,SANGENJAYA,35.643515,139.671162,TOKYU_V2
TOKYU_V2_SENZOKU,洗足,FALSE,せんぞく,SENZOKU,35.61043,139.694367,TOKYU_V2
TOKYU_V2_SENZOKUIKE,洗足池,TRUE,せんぞくいけ,SENZOKUIKE,35.599796,139.691098,TOKYU_V2
TOKYU_V2_SHIBUYA,渋谷,TRUE,しぶや,SHIBUYA,35.6586161,139.6993714,TOKYU_V2
TOKYU_V2_SHIMOMARUKO,下丸子,FALSE,しもまるこ,SHIMOMARUKO,35.571305,139.685618,TOKYU_V2
TOKYU_V2_SHIMOSHINMEI,下神明,FALSE,しもしんめい,SHIMOSHINMEI,35.608851,139.726242,TOKYU_V2
TOKYU_V2_SHINMARUKO,新丸子,FALSE,しんまるこ,SHINMARUKO,35.580626,139.661919,TOKYU_V2
TOKYU_V2_SHINTAKASHIMA,新高島,TRUE,しんたかしま,SHINTAKASHIMA,35.461892,139.626823,TOKYU_V2
TOKYU_V2_SHINTSUNASHIMA,新綱島,FALSE,しんつなしま,SHINTSUNASHIMA,35.580626,139.661919,TOKYU_V2
TOKYU_V2_SHINYOKOHAMA,新横浜,TRUE,しんよこはま,SHINYOKOHAMA,35.612007,139.638861,TOKYU_V2
TOKYU_V2_SUZUKAKEDAI,すずかけ台,FALSE,すずかけだい,SUZUKAKEDAI,35.516963,139.481467,TOKYU_V2
TOKYU_V2_TAKATSU,高津,FALSE,たかつ,TAKATSU,35.603548,139.61747,TOKYU_V2
TOKYU_V2_TAMAGAWA,多摩川,FALSE,たまがわ,TAMAGAWA,35.589766,139.668835,TOKYU_V2
TOKYU_V2_TAMAPLAZA,たまプラーザ,FALSE,たまぷらーざ,TAMAPLAZA,35.577427,139.558447,TOKYU_V2
TOKYU_V2_TANA,田奈,FALSE,たな,TANA,35.536177,139.504835,TOKYU_V2
TOKYU_V2_TANMACHI,反町,FALSE,たんまち,TANMACHI,35.47474,139.625337,TOKYU_V2
TOKYU_V2_TODOROKI,等々力,FALSE,とどろき,TODOROKI,35.60833,139.648069,TOKYU_V2
TOKYU_V2_TOGOSHIGINZA,戸越銀座,TRUE,とごしぎんざ,TOGOSHIGINZA,35.616008,139.715032,TOKYU_V2
TOKYU_V2_TOGOSHIKOEN,戸越公園,FALSE,とごしこうえん,TOGOSHIKOEN,35.608795,139.718056,TOKYU_V2
TOKYU_V2_TORITSUDAIGAKU,都立大学,TRUE,とりつだいがく,TORITSUDAIGAKU,35.617835,139.676393,TOKYU_V2
TOKYU_V2_TSUKIMINO,つきみ野,FALSE,つきみの,TSUKIMINO,35.510335,139.458029,TOKYU_V2
TOKYU_V2_TSUKUSHINO,つくし野,FALSE,つくしの,TSUKUSHINO,35.527625,139.48512,TOKYU_V2
TOKYU_V2_TSUNASHIMA,綱島,FALSE,つなしま,TSUNASHIMA,35.536992,139.634996,TOKYU_V2
TOKYU_V2_UNOKI,鵜の木,FALSE,うのき,UNOKI,35.575519,139.680615,TOKYU_V2
TOKYU_V2_YAGUCHINOWATASHI,矢口渡,FALSE,やぐちのわたし,YAGUCHINOWATASHI,35.562609,139.699925,TOKYU_V2
TOKYU_V2_YOGA,用賀,FALSE,ようが,YOGA,35.50670837,139.6168805,TOKYU_V2
TOKYU_V2_YOKOHAMA,横浜,FALSE,よこはま,YOKOHAMA,35.466188,139.622715,TOKYU_V2
TOKYU_V2_YUKIGAYAOTSUKA,雪が谷大塚,FALSE,ゆきがやおおつか,YUKIGAYAOTSUKA,35.592002,139.680978,TOKYU_V2
TOKYU_V2_YUTENJI,祐天寺,FALSE,ゆうてんじ,YUTENJI,35.637696,139.691155,TOKYU_V2
